2043,2079,1911
2043,2079,1912
2043,2079,1911
2043,2079,1911
2043,2079,1911
2043,2079,1912
2043,2079,1912
2043,2079,1911
2043,2079,1911
2043,2079,1911
2043,2079,1911
2043,2079,1911
2042,2079,1911
2043,2079,1912
2043,2079,1912
2043,2079,1911
2043,2079,1912
2043,2079,1912
2043,2079,1911
2042,2079,1911
2043,2079,1911
2043,2079,1911
2043,2079,1911
2043,2079,1911
2043,2079,1911
2042,2079,1911
2042,2079,1911
2043,2079,1911
2043,2079,1912
2043,2079,1911
2043,2079,1911
2043,2079,1912
2043,2079,1911
2043,2079,1911
2043,2079,1912
2043,2079,1912
2043,2079,1911
2043,2079,1911
2043,2079,1912
2041,2079,1911
2021,2079,1905
1976,2077,1879
1956,2073,1850
1951,2060,1845
1941,2052,1834
1920,2031,1819
1898,1979,1784
1856,1921,1746
1815,1856,1704
1809,1836,1703
1809,1834,1708
1805,1838,1720
1805,1838,1724
1805,1837,1724
1802,1837,1727
1800,1837,1736
1800,1836,1737
1800,1836,1746
1799,1836,1751
1799,1836,1750
1799,1836,1750
1799,1836,1750
1799,1836,1751
1799,1836,1750
1799,1836,1750
1799,1837,1750
1799,1836,1750
1799,1836,1751
1799,1836,1750
1799,1836,1750
1800,1837,1748
1801,1836,1734
1802,1836,1726
1799,1836,1726
1796,1835,1725
1777,1823,1706
1704,1762,1654
1644,1687,1600
1623,1656,1570
1619,1655,1565
1611,1647,1549
1582,1623,1516
1555,1597,1497
1532,1579,1479
1504,1558,1449
1468,1520,1409
1439,1491,1385
1409,1460,1351
1380,1433,1319
1357,1420,1307
1336,1408,1286
1323,1382,1269
1309,1346,1249
1292,1308,1228
1278,1286,1216
1262,1271,1197
1247,1257,1181
1234,1240,1163
1220,1223,1147
1205,1213,1138
1190,1202,1119
1179,1186,1097
1168,1175,1077
1161,1170,1065
1161,1170,1064
1160,1170,1062
1160,1169,1062
1163,1165,1059
1168,1130,1048
1170,1075,1029
1186,1032,1020
1214,1005,1019
1236,984,1014
1272,964,1013
1318,940,1013
1360,925,1013
1403,916,1017
1438,912,1026
1467,914,1040
1495,914,1056
1518,916,1074
1539,932,1102
1564,951,1126
1588,966,1136
1618,993,1165
1646,1034,1203
1681,1082,1239
1714,1122,1274
1738,1159,1305
1762,1192,1338
1785,1230,1381
1812,1271,1419
1847,1312,1453
1878,1351,1485
1901,1379,1508
1922,1409,1541
1947,1449,1579
1970,1488,1610
1989,1527,1644
1996,1559,1663
1995,1571,1666
1994,1581,1668
1995,1600,1674
1995,1626,1687
1996,1654,1701
1996,1678,1712
1996,1701,1722
1991,1720,1731
1984,1747,1739
1979,1768,1749
1973,1795,1760
1972,1819,1772
1970,1843,1787
1967,1870,1799
1962,1887,1802
1952,1901,1802
1933,1920,1802
1912,1934,1804
1893,1942,1809
1876,1950,1809
1860,1956,1809
